ID,name,difficulty_rating,route_type,visitor_usage,avg_rating,area_name,city_name,features,activities,num_reviews,latitude,longitude,length_miles,elevation_gain_ft,steepness_ftmi,difficulty_category,area_category,url
10026910,Vernal and Nevada Falls via the Mist Trail,3,L,3,5.0,Yosemite National Park,Yosemite Valley,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",1869,37.73495,-119.56619,6.4,2191.0001,342.343765625,strenuous,National Park,https://www.alltrails.com/trail/us/california/vernal-and-nevada-falls-via-the-mist-trail
10111800,Potato Chip Rock via Mt. Woodson Trail,5,O,4,4.5,Lake Poway Park,Poway,"['dogs-leash', 'lake', 'views', 'wild-flowers', 'wildlife']","['hiking', 'mountain-biking', 'nature-trips']",2756,33.00428,-117.01322,7.6,2106.0001,277.1052763157895,strenuous,Park,https://www.alltrails.com/trail/us/california/potato-chip-rock-via-mt-woodson-trail
10031492,Eaton Canyon Trail,3,O,4,4.0,Eaton Canyon Natural Area Park,Pasadena,"['cave', 'dogs-leash', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'trail-running']",2084,34.17812,-118.09664,3.5,436.0,124.57142857142857,moderate,Park,https://www.alltrails.com/trail/us/california/eaton-canyon-trail
10027227,Alamere Falls via Coast Trail from Palomarin Trailhead,3,O,3,4.5,Point Reyes National Seashore,Bolinas,"['beach', 'dogs-no', 'forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",1826,37.9339,-122.74668,8.8,1335.0,151.70454545454544,strenuous,Coast,https://www.alltrails.com/trail/us/california/alamere-falls-via-coast-trail-from-palomarin-trailhead
10005895,Upper Yosemite Falls Trail,7,O,3,5.0,Yosemite National Park,Yosemite Valley,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",1351,37.74237,-119.60223,7.2,3175.0001,440.9722361111111,very strenuous,National Park,https://www.alltrails.com/trail/us/california/upper-yosemite-falls-trail
10027595,Black Star Canyon Trail,5,O,4,4.5,Cleveland National Forest,Silverado,"['cave', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'mountain-biking', 'rock-climbing']",1827,33.76395,-117.67782,6.8,941.0,138.38235294117646,moderately strenuous,Forest,https://www.alltrails.com/trail/us/california/black-star-canyon-trail
10005406,Bridge to Nowhere via East Fork Trail,3,O,3,4.5,San Gabriel Mountains National Monument,Azusa,"['rails-trails', 'dogs', 'forest', 'historic-site', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'fly-fishing', 'rails-trails']",1588,34.23701,-117.76527,9.4,1282.0,136.38297872340425,strenuous,National Monument,https://www.alltrails.com/trail/us/california/east-fork-trail-bridge-to-nowhere
10027021,Iron Mountain Trail,3,O,3,4.5,Unlabeled,Poway,"['dogs-leash', 'kids', 'views', 'wild-flowers']","['hiking', 'mountain-biking', 'trail-running', 'ice-climbing']",1907,32.97817,-116.97242,5.2,1102.0,211.9230769230769,moderately strenuous,None,https://www.alltrails.com/trail/us/california/iron-mountain-trail--5
10005585,Half Dome Trail,7,O,3,5.0,Yosemite National Park,Yosemite Valley,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'rock-climbing']",1196,37.73465,-119.56583,14.8,5164.0002,348.9189324324324,very strenuous,National Park,https://www.alltrails.com/trail/us/california/half-dome-trail
10018649,Mission Peak Loop from Stanford Avenue Staging Area,5,L,3,4.5,Mission Peak Regional Preserve,Fremont,"['dogs', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'fishing', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",1869,37.50438,-121.90833,5.8,2135.0001,368.10346551724143,strenuous,Protected Area,https://www.alltrails.com/trail/us/california/mission-peak-loop-from-stanford-avenue-staging-area
